cfb13 (1)
Games,Win,Total.TDs,Yards.Allowed,Off.TDs.Allowed,Total.TDs.Allowed,Yards.Per.Game.Allowed,Opp.First.Downs,Opp.Completions.Allowed,Pass.Yards.Per.Game.Allowed,Rush.Yards.Per.Game.Allowed,Avg.Points.per.Game.Allowed,Points.Per.Game,Opponent.3rd.Percent
12,5,31,4764,43,44,397,258,238,232.9,164.1,28.6,20.2,0.429
13,11,65,3725,21,23,286.5,194,197,180.3,106.2,13.9,38.2,0.347
13,8,57,5214,38,39,401.1,276,269,233.2,167.8,24.2,33.5,0.393
14,10,69,5213,45,48,372.4,243,249,234.7,137.6,26.6,39.7,0.371
12,3,30,4961,46,49,413.4,266,231,235,178.4,30.8,20.7,0.434
13,8,48,5370,42,43,413.1,269,239,232.9,180.2,26.2,29.2,0.382
12,3,38,4930,48,49,410.8,235,155,197.5,213.3,31.6,24.4,0.441
14,12,73,5890,38,41,420.7,288,286,258.6,162.1,24.7,39.5,0.33
13,10,64,5380,36,39,413.8,280,265,218.5,195.3,24.7,38.5,0.393
13,11,91,4684,38,41,360.3,242,212,214.9,145.4,23.5,52.4,0.339
13,7,43,5577,45,48,429,279,283,268.4,160.6,28.9,27.7,0.423
14,10,62,4500,27,29,321.4,241,232,170.9,150.6,15.9,34.8,0.353
13,8,51,4976,39,40,382.8,246,197,216.2,166.6,24.4,30.3,0.348
13,8,47,4925,30,33,378.8,263,279,218.9,159.9,22.1,30.2,0.361
12,1,32,6355,64,72,529.6,297,282,341,188.6,45.9,23,0.414
12,6,35,4862,39,43,405.2,252,200,203.9,201.3,28.6,23.3,0.448
13,9,57,4103,28,34,315.6,230,254,211.2,104.5,21,32.1,0.331
13,11,69,4637,36,37,356.7,234,202,201,155.7,22.2,40.2,0.308
12,4,36,5616,55,58,468,271,247,259.5,208.5,38.3,25.4,0.388
14,10,60,5852,42,48,418,311,264,243.9,174.1,26.6,32.8,0.373
13,10,68,4794,36,39,368.8,266,304,252.1,116.7,24.8,40.2,0.456
12,2,30,6130,66,71,510.8,282,204,252.6,258.3,45.2,18.8,0.474
12,1,13,5156,54,57,429.7,256,206,224.3,205.4,37,9.8,0.397
12,6,41,3911,29,32,325.9,208,162,161.5,164.4,22.3,26.4,0.335
12,4,27,3771,26,27,314.3,192,159,171.8,142.4,21.1,18.8,0.34
14,14,94,3940,21,21,281.4,232,222,156.6,124.8,12.1,51.6,0.322
13,8,58,4882,43,47,375.5,252,221,227.4,148.2,29,36.7,0.399
13,7,61,4683,36,38,360.2,256,267,244.5,115.8,22.8,35.1,0.363
13,8,54,5405,33,34,415.8,290,298,266.8,149,21.8,33.2,0.344
12,1,27,6353,72,76,529.4,311,304,315.8,213.6,46.8,18.2,0.468
12,4,45,5778,54,55,481.5,284,231,242.9,238.6,35.4,29.7,0.452
12,5,62,6335,59,63,527.9,310,253,290.2,237.8,38.8,38.4,0.465
13,8,42,3940,28,30,303.1,207,217,174.7,128.4,18.9,26.3,0.357
12,3,37,5557,50,56,463.1,264,239,239.1,224,36,24.8,0.384
12,3,22,5191,45,48,432.6,266,235,242,190.6,31.8,15.3,0.408
13,8,56,4665,33,35,358.8,249,277,219.8,139.1,22.9,33.2,0.409
12,4,31,4919,40,40,409.9,259,176,211.1,198.8,26.9,20.8,0.424
12,2,30,5126,48,49,427.2,255,221,229.8,197.3,31.2,20.5,0.447
12,6,36,5122,41,46,426.8,255,220,237.6,189.3,30.2,22.3,0.402
13,9,59,5116,37,43,393.5,265,250,242.8,150.7,26.5,33.8,0.413
12,4,25,4899,37,39,408.3,261,204,213.5,194.8,26.3,19.2,0.453
13,12,57,3269,18,18,251.5,183,189,170.8,80.7,12.2,35.2,0.267
13,10,61,4429,30,32,340.7,246,223,197.5,143.2,22,35.8,0.383
14,10,80,5160,37,40,368.6,275,230,208.1,160.5,22.9,42.1,0.336
13,7,39,4867,38,38,374.4,254,269,225.1,149.3,25.3,26.2,0.342
12,1,15,5199,45,50,433.3,255,189,217.8,215.5,33,11.7,0.404
12,3,27,4448,34,37,370.7,250,265,254.3,116.3,24.6,19.5,0.439
13,9,57,5543,42,43,426.4,287,266,249.8,176.5,26.8,33.8,0.419
12,0,14,5811,52,55,484.3,309,254,260.9,223.3,35.7,9.8,0.482
13,7,52,4829,37,40,371.5,255,243,231.3,140.2,26.8,32.2,0.398
14,13,51,3531,20,21,252.2,200,213,165.6,86.6,13.2,29.4,0.279
13,8,49,5235,41,43,402.7,287,245,203.4,199.3,26.2,29,0.478
13,8,42,4852,35,36,373.2,245,247,215.1,158.2,22.2,25.7,0.368
13,7,48,4541,35,36,349.3,232,240,205.2,144.2,23,27.7,0.352
14,12,71,5848,38,39,417.7,297,356,264.8,152.9,23.1,39.1,0.378
13,9,58,5132,40,41,394.8,283,273,215.9,178.8,24.4,33.5,0.459
12,3,31,4793,45,48,399.4,239,227,219.3,180.2,30.2,22.8,0.407
13,9,54,4820,38,38,370.8,261,210,214.6,156.2,24.8,31.9,0.309
12,2,32,6594,66,71,549.5,290,218,250,299.5,44.6,20.9,0.452
13,7,55,5241,35,38,403.2,278,237,220.7,182.5,24.5,32.7,0.4
13,9,55,4528,25,30,348.3,231,267,227.8,120.5,17.8,31.8,0.363
14,12,71,5808,41,43,414.9,308,280,263.1,151.7,25.1,39.6,0.387
12,5,35,5082,36,40,423.5,287,267,256.2,167.3,27.1,26.2,0.401
13,9,42,4760,32,34,366.2,280,240,198.2,168,22.4,27.2,0.419
13,7,43,5276,45,46,405.8,267,229,217.9,187.9,27.5,27.4,0.442
14,12,87,5284,40,42,377.4,283,330,268,109.4,22.6,45.5,0.356
13,11,50,4552,34,36,350.2,233,225,212.5,137.6,22.1,32.8,0.337
13,10,68,5004,27,33,384.9,287,290,242.5,142.4,21.6,39.1,0.314
13,8,49,4816,37,38,370.5,266,245,215.5,154.9,23.7,30,0.401
13,11,81,4811,31,32,370.1,271,271,204.5,165.5,20.5,45.5,0.403
13,7,59,5676,48,51,436.6,284,265,246.3,190.3,31.4,34.8,0.404
12,7,43,4576,34,38,381.3,233,249,237.3,144,26.2,28.7,0.365
13,7,43,4778,39,43,367.5,243,225,218.5,149,27.2,26.3,0.383
12,1,23,5519,55,61,459.9,295,233,224.5,235.4,38,14.9,0.565
14,10,54,5097,41,43,364.1,246,213,202.7,161.4,24.4,29.6,0.349
13,6,44,5366,48,49,412.8,275,331,312,100.8,29.8,26.5,0.416
12,5,38,4951,47,54,412.6,269,286,271.8,140.8,33.3,26.8,0.412
12,6,43,4611,35,36,384.3,237,218,224.6,159.7,25.2,29.4,0.364
13,11,57,4550,31,32,350,228,221,196.2,153.8,20.3,34.1,0.373
12,2,16,4209,35,43,350.8,238,215,211,139.8,28.6,13.8,0.39
14,10,53,4693,34,39,335.2,255,293,214.6,120.6,21.2,29.7,0.327
12,1,24,5226,62,68,435.5,288,212,210.9,224.6,41.9,17.1,0.459
14,11,56,4804,30,31,343.1,280,344,253.8,89.4,19,32.3,0.322
13,7,38,4773,41,42,367.2,243,250,229.8,137.4,25.4,22.7,0.335
12,4,37,4277,28,33,356.4,222,213,225.6,130.8,25.3,25.1,0.36
12,2,42,5683,41,42,473.6,286,278,298.6,175,29.8,24.9,0.409
12,5,35,5021,43,46,418.4,255,200,211.1,207.3,29,23.8,0.425
13,8,46,5294,34,39,407.2,275,238,224.2,183.1,25.8,29.3,0.368
13,9,78,6185,54,55,475.8,304,250,253.5,222.3,32.2,44.2,0.41
12,6,37,4760,38,41,396.7,229,271,249.3,147.4,27.3,23.9,0.395
13,8,57,5441,48,51,418.5,281,248,217.1,201.5,30.5,35.8,0.343
12,7,49,5061,44,45,421.8,280,219,251.3,170.4,28.6,33,0.455
12,6,54,5798,55,58,483.2,276,230,313.6,169.6,35.9,34.1,0.436
13,7,39,4577,30,33,352.1,253,240,228.4,123.7,21.4,24.8,0.394
12,3,29,5155,46,52,429.6,257,241,230.7,198.9,33.9,21.1,0.44
12,2,38,5974,67,71,497.8,295,232,276.5,221.3,43.8,26.3,0.46
13,12,55,4706,34,36,362,248,272,239.5,122.5,21.3,34.6,0.412
13,10,63,5032,35,37,387.1,293,266,217.6,169.5,23.2,36.9,0.349
12,3,31,4615,40,46,384.6,233,221,249.2,135.4,30.3,20.6,0.384
12,5,43,4772,35,41,397.7,242,262,267.3,130.3,28,29.2,0.365
12,2,34,5620,61,62,468.3,262,161,220.5,247.8,39.3,21.8,0.469
13,9,49,4612,37,40,354.8,260,272,206.9,147.8,24.6,30.1,0.368
12,2,27,4843,47,51,403.6,226,195,232.9,170.7,33.3,19.8,0.32
13,8,35,3687,25,31,283.6,191,175,172.7,110.9,19.3,22.5,0.297
12,4,28,4394,33,36,366.2,231,262,223,143.2,24.1,18.3,0.363
13,9,64,5051,35,37,388.5,280,279,227.2,161.3,22.8,37.9,0.378
13,6,51,5954,48,52,458,297,287,270.8,187.2,32.5,31,0.381
12,4,38,5460,47,48,455,254,244,263.3,191.7,33.3,26.3,0.427
12,8,47,4070,34,37,339.2,201,181,177.9,161.3,24.6,30.8,0.451
12,1,23,5030,46,55,419.2,269,167,169.2,250,35.4,17.2,0.457
13,9,59,3966,24,25,305.1,209,227,202.5,102.5,16.3,34.8,0.306
