Games,Win,Total_TDs,Yards_Allowed,Off_TDs_Allowed,Total_TDs_Allowed,Yards_Per_Game_Allowed,Opp_First_Downs,Opp_Completions_Allowed,Pass_Yards_Per_Game_Allowed,Rush_Yards_Per_Game_Allowed,Avg_Points_Per_Game_Allowed,Points_Per_Game,Opponent_Third_Percent,Win_Percentage,Yards_Allowed_Per_Game,TD_Allowed_Per_Game,Opp_First_Downs_Per_Game,Opp_Completions_Per_Game_Allowed,Third_Percent_Median
12,5,31,4764,43,44,397,258,238,232.9,164.1,28.6,20.2,0.429,0.417,397.000,3.667,21.500,19.833,1.000
13,11,65,3725,21,23,286.5,194,197,180.3,106.2,13.9,38.2,0.347,0.846,286.538,1.769,14.923,15.154,0.000
13,8,57,5214,38,39,401.1,276,269,233.2,167.8,24.2,33.5,0.393,0.615,401.077,3.000,21.231,20.692,0.000
14,10,69,5213,45,48,372.4,243,249,234.7,137.6,26.6,39.7,0.371,0.714,372.357,3.429,17.357,17.786,0.000
12,3,30,4961,46,49,413.4,266,231,235,178.4,30.8,20.7,0.434,0.250,413.417,4.083,22.167,19.250,1.000
13,8,48,5370,42,43,413.1,269,239,232.9,180.2,26.2,29.2,0.382,0.615,413.077,3.308,20.692,18.385,0.000
12,3,38,4930,48,49,410.8,235,155,197.5,213.3,31.6,24.4,0.441,0.250,410.833,4.083,19.583,12.917,1.000
14,12,73,5890,38,41,420.7,288,286,258.6,162.1,24.7,39.5,0.33,0.857,420.714,2.929,20.571,20.429,0.000
13,10,64,5380,36,39,413.8,280,265,218.5,195.3,24.7,38.5,0.393,0.769,413.846,3.000,21.538,20.385,0.000
13,11,91,4684,38,41,360.3,242,212,214.9,145.4,23.5,52.4,0.339,0.846,360.308,3.154,18.615,16.308,0.000
13,7,43,5577,45,48,429,279,283,268.4,160.6,28.9,27.7,0.423,0.538,429.000,3.692,21.462,21.769,1.000
14,10,62,4500,27,29,321.4,241,232,170.9,150.6,15.9,34.8,0.353,0.714,321.429,2.071,17.214,16.571,0.000
13,8,51,4976,39,40,382.8,246,197,216.2,166.6,24.4,30.3,0.348,0.615,382.769,3.077,18.923,15.154,0.000
13,8,47,4925,30,33,378.8,263,279,218.9,159.9,22.1,30.2,0.361,0.615,378.846,2.538,20.231,21.462,0.000
12,1,32,6355,64,72,529.6,297,282,341,188.6,45.9,23,0.414,0.083,529.583,6.000,24.750,23.500,1.000
12,6,35,4862,39,43,405.2,252,200,203.9,201.3,28.6,23.3,0.448,0.500,405.167,3.583,21.000,16.667,1.000
13,9,57,4103,28,34,315.6,230,254,211.2,104.5,21,32.1,0.331,0.692,315.615,2.615,17.692,19.538,0.000
13,11,69,4637,36,37,356.7,234,202,201,155.7,22.2,40.2,0.308,0.846,356.692,2.846,18.000,15.538,0.000
12,4,36,5616,55,58,468,271,247,259.5,208.5,38.3,25.4,0.388,0.333,468.000,4.833,22.583,20.583,0.000
14,10,60,5852,42,48,418,311,264,243.9,174.1,26.6,32.8,0.373,0.714,418.000,3.429,22.214,18.857,0.000
13,10,68,4794,36,39,368.8,266,304,252.1,116.7,24.8,40.2,0.456,0.769,368.769,3.000,20.462,23.385,1.000
12,2,30,6130,66,71,510.8,282,204,252.6,258.3,45.2,18.8,0.474,0.167,510.833,5.917,23.500,17.000,1.000
12,1,13,5156,54,57,429.7,256,206,224.3,205.4,37,9.8,0.397,0.083,429.667,4.750,21.333,17.167,1.000
12,6,41,3911,29,32,325.9,208,162,161.5,164.4,22.3,26.4,0.335,0.500,325.917,2.667,17.333,13.500,0.000
12,4,27,3771,26,27,314.3,192,159,171.8,142.4,21.1,18.8,0.34,0.333,314.250,2.250,16.000,13.250,0.000
14,14,94,3940,21,21,281.4,232,222,156.6,124.8,12.1,51.6,0.322,1.000,281.429,1.500,16.571,15.857,0.000
13,8,58,4882,43,47,375.5,252,221,227.4,148.2,29,36.7,0.399,0.615,375.538,3.615,19.385,17.000,1.000
13,7,61,4683,36,38,360.2,256,267,244.5,115.8,22.8,35.1,0.363,0.538,360.231,2.923,19.692,20.538,0.000
13,8,54,5405,33,34,415.8,290,298,266.8,149,21.8,33.2,0.344,0.615,415.769,2.615,22.308,22.923,0.000
12,1,27,6353,72,76,529.4,311,304,315.8,213.6,46.8,18.2,0.468,0.083,529.417,6.333,25.917,25.333,1.000
12,4,45,5778,54,55,481.5,284,231,242.9,238.6,35.4,29.7,0.452,0.333,481.500,4.583,23.667,19.250,1.000
12,5,62,6335,59,63,527.9,310,253,290.2,237.8,38.8,38.4,0.465,0.417,527.917,5.250,25.833,21.083,1.000
13,8,42,3940,28,30,303.1,207,217,174.7,128.4,18.9,26.3,0.357,0.615,303.077,2.308,15.923,16.692,0.000
12,3,37,5557,50,56,463.1,264,239,239.1,224,36,24.8,0.384,0.250,463.083,4.667,22.000,19.917,0.000
12,3,22,5191,45,48,432.6,266,235,242,190.6,31.8,15.3,0.408,0.250,432.583,4.000,22.167,19.583,1.000
13,8,56,4665,33,35,358.8,249,277,219.8,139.1,22.9,33.2,0.409,0.615,358.846,2.692,19.154,21.308,1.000
12,4,31,4919,40,40,409.9,259,176,211.1,198.8,26.9,20.8,0.424,0.333,409.917,3.333,21.583,14.667,1.000
12,2,30,5126,48,49,427.2,255,221,229.8,197.3,31.2,20.5,0.447,0.167,427.167,4.083,21.250,18.417,1.000
12,6,36,5122,41,46,426.8,255,220,237.6,189.3,30.2,22.3,0.402,0.500,426.833,3.833,21.250,18.333,1.000
13,9,59,5116,37,43,393.5,265,250,242.8,150.7,26.5,33.8,0.413,0.692,393.538,3.308,20.385,19.231,1.000
12,4,25,4899,37,39,408.3,261,204,213.5,194.8,26.3,19.2,0.453,0.333,408.250,3.250,21.750,17.000,1.000
13,12,57,3269,18,18,251.5,183,189,170.8,80.7,12.2,35.2,0.267,0.923,251.462,1.385,14.077,14.538,0.000
13,10,61,4429,30,32,340.7,246,223,197.5,143.2,22,35.8,0.383,0.769,340.692,2.462,18.923,17.154,0.000
14,10,80,5160,37,40,368.6,275,230,208.1,160.5,22.9,42.1,0.336,0.714,368.571,2.857,19.643,16.429,0.000
13,7,39,4867,38,38,374.4,254,269,225.1,149.3,25.3,26.2,0.342,0.538,374.385,2.923,19.538,20.692,0.000
12,1,15,5199,45,50,433.3,255,189,217.8,215.5,33,11.7,0.404,0.083,433.250,4.167,21.250,15.750,1.000
12,3,27,4448,34,37,370.7,250,265,254.3,116.3,24.6,19.5,0.439,0.250,370.667,3.083,20.833,22.083,1.000
13,9,57,5543,42,43,426.4,287,266,249.8,176.5,26.8,33.8,0.419,0.692,426.385,3.308,22.077,20.462,1.000
12,0,14,5811,52,55,484.3,309,254,260.9,223.3,35.7,9.8,0.482,0.000,484.250,4.583,25.750,21.167,1.000
13,7,52,4829,37,40,371.5,255,243,231.3,140.2,26.8,32.2,0.398,0.538,371.462,3.077,19.615,18.692,1.000
14,13,51,3531,20,21,252.2,200,213,165.6,86.6,13.2,29.4,0.279,0.929,252.214,1.500,14.286,15.214,0.000
13,8,49,5235,41,43,402.7,287,245,203.4,199.3,26.2,29,0.478,0.615,402.692,3.308,22.077,18.846,1.000
13,8,42,4852,35,36,373.2,245,247,215.1,158.2,22.2,25.7,0.368,0.615,373.231,2.769,18.846,19.000,0.000
13,7,48,4541,35,36,349.3,232,240,205.2,144.2,23,27.7,0.352,0.538,349.308,2.769,17.846,18.462,0.000
14,12,71,5848,38,39,417.7,297,356,264.8,152.9,23.1,39.1,0.378,0.857,417.714,2.786,21.214,25.429,0.000
13,9,58,5132,40,41,394.8,283,273,215.9,178.8,24.4,33.5,0.459,0.692,394.769,3.154,21.769,21.000,1.000
12,3,31,4793,45,48,399.4,239,227,219.3,180.2,30.2,22.8,0.407,0.250,399.417,4.000,19.917,18.917,1.000
